CID	ATC coe
1046	J04AK01
10531	N02CA01
10631	G03AC06
107807	C09AA04
119570	N04BC05
12560	D10AF02
129211	G04CA02
13109	G03AC03
1349907	H03BB02
148124	L01CD02
149096	J01MA12
1548887	M01AB02
1549008	D01AE15
156391	G02CC02
16231	C03DB01
16362	N05AG02
165580	A07AA06
174174	A03BA01
175805	N01BB09
1775	N03AB02
18283	J05AF04
18381	J01CF01
19090	G03AC05
1978	C07AB04
1986	S01EC01
2019	L01DA01
2022	D06BB03
20279	L01BB04
2082	P02CA03
20824	J01CA03
2083	R03AC02
2092	G04CA01
2094	M04AA01
2118	N05BA12
2123	L01XX03
2130	N04BB01
2131	N07AA30
2153	R03DA04
2157	C01BD01
2160	N06AA09
2162	C08CA01
2170	N06AA17
2179	L01XX01
2182	B01AC14
2187	L02BG03
2216	S01EA03
2249	C07AB03
2265	L04AX01
2266	D10AX03
2267	R01AC03
2315	C03AA01
2337	C05AD03
2369	C07AB05
2370	N07AB02
2375	L02BB03
2381	N04AA02
23897	N05AE02
2405	C07AB07
24066	J05AF03
2435	S01EA05
2441	N05BA08
2471	C03CA02
2474	N01BB01
2477	N05BE01
2478	L01AB01
247839	S01BA08
2519	N06BC01
2520	C08DA01
2541	C09CA06
2554	N03AF01
2564	R06AA08
2578	L01AD01
2583	C07AA15
2585	C07AG02
259331	L01XX11
26757	N04BD01
2678	R06AE07
26987	D04AA14
2708	L01AA02
2712	N05BA02
2719	P01BA01
2720	C03AA04
2724385	C01AA05
2726	N05AA01
2727	A10BB02
2733	M03BB03
2733526	L02BA01
2749	D01AE14
2756	A02BA01
2761171	J04AD03
2762	G04AB05
27661	C01DA14
2771	N06AB04
2789	N05BA09
2794	J04BA01
27991	H01BA02
2801	N06AA04
2802	N03AE01
2803	C02AC01
2812	A01AB18
2818	N05AH02
28417	G03XA01
2895	M03BX08
2905	S01FA04
2907	L01AA01
2913	R06AX02
29327	L01AD04
2955	J04BA02
2972	V03AC02
2995	N06AA01
3000502	J04AB30
3001055	A02BA02
3005573	L02BA02
3016	N05BA01
3019	C02DA01
30323	L01DB02
3033	M01AB05
3033637	A02BA04
3034010	A08AB01
3059	N02BA11
3100	D04AA32
3108	B01AC07
31101	G02CB01
3114	C01BA03
3117	P03AA04
3121	N03AG01
31307	A01AC01
31378	H02AA02
31401	A05AA02
31477	S01ED04
3151	A03FA03
3152	N07AA05
3156	R07AB01
3157	C02CA04
3168	N01AX01
31703	L01DB01
3198	D01AC03
3219	S01GX06
3226	N01AB04
3241	R06AX24
3261	N05CD04
3291	N03AD01
3292	N03AB01
3305	M05BA01
3308	M01AB08
3324	J05AB09
33255	J01DA04
3331	N03AX10
3333	C08CA02
3339	C10AB05
3342	M01AE04
3348	R06AX26
3354	G04BD02
3356	C01BC04
33613	J01CA04
33624	C07AA06
3365	J02AC01
3366	D01AE21
3372	N05AB02
3373	V03AB25
3385	L01BC02
3386	N06AB03
3393	N05CD01
3394	M01AE09
3397	L02BB01
3410	R03AC13
3415	J05AD01
34312	N03AF02
3440	C03CA01
3446	N03AX12
3454	J05AB06
3463	C10AB04
3467	D06AX07
3475	A10BB09
3476	A10BB12
3478	A10BB07
3518	C02CC02
3519	C02AC02
35370	J05AF01
3559	N05AD01
3562	N01AB01
3598	D08AE01
36314	L01CD01
3637	C02DB02
3639	C03AA03
36462	L01CB01
3647	C03AA02
3652	P01BA02
3658	N05BB01
3672	G02CC01
3675	N06AF03
3676	C01BB01
36811	C01CA07
3690	L01AA06
3696	N06AA02
3698	C01CE01
3702	C03BA11
37393	P01BX01
37464	C07AA23
3749	C09CA04
37542	J05AB04
3759	N06AF01
3763	N01AB06
3767	J04AC01
37768	D06AX12
3779	C01CA02
38103	J01DA31
3821	N01AX03
3825	M01AE03
3826	M01AB15
3827	R06AX17
383414	H01CB02
3869	C07AG01
3878	N03AX09
3902	L02BG04
39042	C10AB02
39147	C07AA12
39186	C08DB01
392622	J05AE03
39468	S01ED03
3948	J01MA07
3950	L01AD02
3955	A07DA03
3957	R06AX13
3958	N05BA06
3961	C09CA01
3964	N05AH01
39765	M03AC03
4004	P03AX03
4011	N06AA21
4030	P02CA01
4032	C02BB01
40326	P03AC04
4037	M01AG04
4044	M01AG01
4062	N01BB03
4064	N05BC01
4078	N05AC03
4086	R03AB03
4091	A10BA02
4114	D05AD02
4121	C03AA08
4158	N06BA04
4168	A03FA01
41693	N01AH03
4170	C03BA08
4171	C07AB02
4173	A01AB17
4174	V04CD01
4178	C01BB02
41781	C03CA04
41867	L01DB03
4189	A01AB09
4192	N05CD08
4195	C01CA17
4197	C01CE02
4201	C02DC01
4205	N06AX11
42113	N01AB07
4212	L01DB07
42890	L01DB06
43672	J01CA12
439260	C01CA03
439693	L01XX08
4409	M01AX01
44093	C09AA01
441130	J01DH02
441140	D01AA08
441278	N02AD01
441289	M03AC01
441314	A10BF02
4421	G04AB01
4436	R01AA08
443879	G04BD07
443958	D07AC11
4440	N02CC02
444795	D10AD01
4449	N06AX06
4456	N07AA01
445643	L04AA05
446155	C10AA04
4463	J05AG01
446541	L04AA06
446596	D06AX09
446987	J01XX01
4474	C08CA04
4485	C08CA05
4493	L02BB02
4497	C08CA06
4499	C08CA07
4506	N05CD02
4539	J01MA06
4543	N06AA10
4583	J01MA01
4585	N05AH03
4594	A02BC01
4595	A04AA01
460612	L01AA03
4614	M01AE12
4616	N05BA04
4659569	N04BX01
4679	A02BC02
4680	A03AD01
4725	D06BB06
47319	M03AC04
4737	N05CA01
4740	C04AD03
47472	G01AF15
4748	N05AB03
4763	N03AA02
47641	D01AE22
4768	C04AX02
4771	A08AA01
47811	N04BC02
47965	J01DA09
48041	C01BC08
4845	R03AC08
4870	C03AA05
4891	P02BA01
4893	C02CA01
4906	N01BB04
4908	P01BA03
4909	N03AA03
4911	M04AB01
4913	C01BA02
4914	C05AD05
4915	L01XB01
4917	N05AB04
4919	N04AA04
4927	D04AA10
4932	C01BC03
4934	A03AB05
4943	N01AX10
4976	N06AA11
4991	N07AA02
4993	P01BD01
5002	N05AH04
50599	J05AF02
5070	N07XX02
5071	J05AC02
5073	N05AX08
5095	N04BC04
51039	J01DA08
51263	N01AH02
5152	R03AC12
516892	B05CB04
5193	N05CA06
5206	N01AB08
5210	A08AA10
5212	G04BE03
5215	J01EC02
5253	C07AA07
5280360	G02AD02
5280723	C01EA01
5281004	A07EA06
5281006	J01DA41
5281037	C09CA02
5281040	R03DC03
5281081	N04BX02
5282379	D10AD04
5282443	R06AX07
5284371	R05DA04
5284513	D05BB02
5284549	S01EC03
5284570	N02AA03
5284603	N02AA05
5284627	N03AX11
5288783	D05AX02
5288826	N02AA01
53025	J01DA14
5311052	D07AB21
5311054	A07AA10
5311066	D07AB08
5311067	D07AC03
5311128	L02AE03
5320	S01AB04
53232	C10AA02
5324346	N06AB08
5342	M04AB02
5358	N02CC01
5359	M01AE07
5359476	A07EC01
5360515	V03AB30
5360696	R05DA09
5362065	J01DA23
5362119	C09AA03
5362124	C09AA07
5362129	C09AA05
5362440	J05AE02
5381	D05AX05
5388962	C09AA02
5391	N05CD07
5394	L01AX03
5401	G04CA03
5403	R03AC03
5426	L04AX02
54385	R01AC02
54454	C10AA01
5452	N05AC02
54671203	J01AA02
54676228	M01AC01
54678486	B01AA03
54687	C10AA03
5472	B01AC05
54746	G02CB03
5479530	J01DA13
5479537	J01DA24
5484727	C09AA10
5487	M03BX02
54892	C09AA06
5503	A10BB05
5504	C04AB02
5505	A10BB03
5509	M01AB03
55245	G03XB01
5526	B02AA02
5533	N06AX05
5546	C03DB02
5556	N05CD05
5566	N05AB06
5572	N04AA01
5576	N03AC02
5578	J01EA01
5583	P01AX07
5584	N06AA06
5593	S01FA06
5596	A03AB20
5625	J05AG02
564	B02AA01
5656	N06AX16
5665	N03AG04
5702160	A02BA03
5717	R03DC01
5719	N05CF03
5732	N05CF02
5735	N05CF01
57363	G04CB01
5743	A01AC02
5746	L01DC03
57469	D06BB10
5754	A01AC03
5755	A07EA01
5757	G03CA03
5770	C02AA02
5775	C04AB01
5826	N06BA02
5833	C03DA01
5852	M01CC01
5865	A07EA03
5878	A14AA08
5904	J01CE01
5910	N07AX01
59768	C07AB09
5978	L01CA02
5983	S01EB05
5994	G03DA04
6005	N04BC07
6013	G03BA03
60164	D10AD03
6018	N05AK01
6037	B03BB01
6041	C01CA06
60606	B01AC04
60613	J05AB12
60648	N03AG06
60700	L01XX17
60750	L01BC05
60753	C01BD05
60773	J05AB11
60815	N01AH06
60823	C10AA05
60825	J05AF05
60838	L01XX19
60846	C09CA03
60857	N02CC03
60953	L01BC06
60961	C01EB10
6196	J01CF04
6215	C05AA10
6234	J04AB01
6249	J01CA01
6251	B05BC01
6253	L01BC01
6256	S01AD02
6323490	J04AB04
6335412	A07EC04
6335986	J01DA33
64139	J05AG03
6446	G03BA01
6533629	J01DA22
656509	J01FF02
657298	H03BA02
667477	N06AA12
667490	L01BB02
681	C01CA04
6834	R06AB01
68617	N06AB06
6883	C01DA08
6914273	M03CA01
6915944	J01DA42
6917715	G03AC08
702	V03AB16
7028	R01BA02
7029	A08AA03
71158	V03AA03
71301	C07AB12
71329	C01BD04
71384	V03AF02
71414	D07AC10
727	P03AB02
74989	P01AX06
750	B05CX03
7699	R05DB01
772	B01AB05
77991	N07AA06
8223	N02CA02
8271	N03AA01
8378	D09AA01
8612	N01BA04
9034	N01AF01
91270	C09AA13
9294	R01AA03
9642	C05AA11
9681	N02CA04
9782	A07EA04
9878	C05AA06
